Structure,Diameter (inches),Length (km),Metal,Plastic,Concrete,Residue,Chemicals,Hydrocarbon,Burial Status,Final Decommissioning Option
PL1631,13,0.22,1,1,0,1,0,1,0,FullRemoval
PL1631,14,0.062,1,1,0,1,0,1,0,FullRemoval
PL1632,12,0.05,1,1,0,1,0,1,0,FullRemoval
PL1656.1,6,0.6,1,1,0,1,0,1,0,FullRemoval
PL1656.2,6,0.58,1,1,0,1,0,1,0,FullRemoval
PL1656.2JP9,6,0.1,1,1,0,1,0,1,0,FullRemoval
PL1656.3,6,0.57,1,1,0,1,0,1,0,FullRemoval
PL1656.3JP7,6,0.1,1,1,0,1,0,1,0,FullRemoval
PL1656.3JP10,6,0.1,1,1,0,1,0,1,0,FullRemoval
PL1656.4,6,0.55,1,1,0,1,0,1,0,FullRemoval
PL1656.4JP1,6,0.055,1,1,0,1,0,1,0,FullRemoval
PL1656.4JP1,6,0.001,1,1,0,1,0,1,0,FullRemoval
PL1656.5,6,0.53,1,1,0,1,0,1,0,FullRemoval
PL1656.5JP2,6,0.0085,1,1,0,1,0,1,0,FullRemoval
PL1656.6,6,0.54,1,1,0,1,0,1,0,FullRemoval
PL2781,7.5,0.047,1,0,0,1,0,1,0,FullRemoval
PL2781,7.18,0.005,1,0,0,1,0,1,0,FullRemoval
PL2782,7.18,0.005,1,0,0,1,0,1,0,FullRemoval
PL2783,7.5,0.006,1,0,0,1,0,1,0,FullRemoval
PL3026,4.5,1.617,1,0,0,1,0,1,0,FullRemoval
PL128,4.5,1.856,1,0,0,1,0,1,0,FullRemoval
PL1336,10,0.1,1,0,0,1,0,1,0,FullRemoval
PL1337,6,0.1,1,0,0,1,0,1,0,FullRemoval
PL3121,12,0.08,1,0,0,1,0,1,0,FullRemoval
PL3121,12,0.05,1,0,0,1,0,1,0,FullRemoval
PL3121,6.625984252,0.06,1,0,0,1,0,1,0,FullRemoval
PL3121,6.625984252,0.03,1,0,0,1,0,1,0,FullRemoval
PL5,24,0.0648,1,0,0,1,0,1,0,FullRemoval
PL5,24,0.0828,1,0,0,1,0,1,0,FullRemoval
PL1631,14,0.06,1,0,0,1,0,1,0,FullRemoval
PL1632,10,0.2,1,0,0,1,0,1,0,FullRemoval
PL3008,8,2.111,1,1,0,1,1,0,1,FullRemoval
PL1332,8,2,1,1,0,1,1,0,1,FullRemoval
PL1333,6,2.8,1,1,0,1,1,0,1,FullRemoval
PL1334.1-5,,1.8,1,1,0,1,1,0,1,FullRemoval
PL575,8,0.492,1,1,0,1,1,0,1,FullRemoval
PL576,4,0.65,1,1,0,1,1,0,1,FullRemoval
PL1665,8,7.138,1,1,0,1,1,0,1,FullRemoval
PL2819,8,2.28,1,1,0,1,1,0,1,FullRemoval
PL2820,3,2.28,1,1,0,1,1,0,1,FullRemoval
PL2808,8.74,1.833,1,1,0,1,1,0,1,FullRemoval
PL2000,7.7,3.82,1,1,0,1,1,0,1,FullRemoval
PL2001,4.4,3.81,1,1,0,1,1,0,1,FullRemoval
PL644,3.8,7.995,1,1,0,1,1,0,1,FullRemoval
PL645,3.8,7.098,1,1,0,1,1,0,1,FullRemoval
PL646,3.8,5.841,1,1,0,1,1,0,1,FullRemoval
PL980,4.5,8.14915,1,1,0,1,1,0,1,FullRemoval
PL2328,7.5,9.67,1,1,0,1,1,0,1,FullRemoval
PL640,8.874,7.61327,1,0,0,1,1,0,1,FullRemoval
PL225,6.875,1.818,1,0,0,1,1,0,1,FullRemoval
PL226,6.875,1.625,1,0,0,1,1,0,1,FullRemoval
PL227,6.875,5.346,1,0,0,1,1,0,1,FullRemoval
PL228,6.875,3.311,1,0,0,1,1,0,1,FullRemoval
PL229,6.875,2.91,1,0,0,1,1,0,1,FullRemoval
PL230,6.875,2.701,1,0,0,1,1,0,1,FullRemoval
PL2057,5,5.6,1,1,0,1,0,1,1,FullRemoval
PL2818,8,2.28,1,1,0,1,0,1,1,FullRemoval
PL1441.1,12,9.02,1,1,0,1,0,1,1,FullRemoval
PL2806,10.58,1.803,1,1,0,1,0,1,1,FullRemoval
PL2807,4.39,1.835,1,1,0,1,0,1,1,FullRemoval
PL222A,7.539,5.083,1,1,0,1,0,1,1,FullRemoval
PL638,6.675,7.921,1,0,0,1,0,1,1,FullRemoval
PL639,8.8774,6.9435,1,0,0,1,0,1,1,FullRemoval
